ID,PSET,ALT_PRONOUNCE,PRONOUN,VERB,GENDER,SYLLABARY,PRONOUNCE,ENGLISH,INTRO NOTE,END NOTE
,,Hiɂi digwě:ji.,,,,,Hiɂa digwě:ji.,These are my children.,,
,,,,,,,Dǒ:yi da:galó:hi.,He came from outside.,,
,,Gane̋:lis sda:li̋:ɂi?,,,,,Gane̋:lisgo sda:li̋:ɂi?,Is your friend married?,,
,,Gohlgas jalagi?,,,,,Gohlgasgo jalagi?,Does he understand Cherokee?,,
,,,,,,,I̋:na gé:ga.,I am going far away.,,
,,Go:hlv:hnv̋ e:ksdě:la.,,,,,Go:hlv:hnv̋:ɂi e:ksdě:la.,Pass me some butter.,,
,,Ù:hna̋:s te:si?,,,,,Ù:hna̋:sgo te:si?,Are you going there?,,
,,,,,,,Kilő dv̀:tli.,Someone is running in this direction.,,
,,,,,,,Ale nù:lô:sv̌:ɂi.,He almost fell.,,
,,,,,,,E:hè:na hle̋:ga.,Come here a while.,,
,,Jě:dô:lv̌:ɂs wá:sv:dáɂnő:ɂi?,,,,,Jě:dô:lv̌:ɂsgo wá:sv:dáɂnő:ɂi?,Have you been to Washington?,,
,,,,,,,O:hni ù:lúhjv̌:ɂi.,He came afterwards.,,
,,,,,,,Tí:yohi ji:sdu.,Let the rabbit go.,,
,,,,,,,Udli hwilǒ:hi.,Go away.,,
,,,,,,,Asú:sdi gà:sú:ɂa.,I am sopping gravy.,,
,,,,,,,A:yanű:li á:ɂi:sv̌:ɂi.,He was walking fast.,,
,,Síyo. Tò:hi̋:ju?,,,,,O:síyo. Tò:hi̋:ju?,Hello. Are you well?,,
,,,,,,,Ama à:ktade:gí:ɂa.,I am thirsty for water.,,
,,,,,,,E:hlawe̋:ɂi à:níɂnv̌:ɂi.,They sat quietly.,,
,,Hè:sdi yijaně:gû:jé:sdi.,,,,,Hlè:sdi yijaně:gû:jé:sdi.,Don't be mean.,,
,,Jě:dô:lv̌:ɂis gù:gu?,,,,,Jě:dô:lv̌:ɂisgo gù:gu?,Have you been to Bartlesville?,,
,,,,,,,Ganǔ:lv á:gà:lsdi.,He is mowing the grass.,,
,,,,,,,Waló:si nà:niweɂa.,The frogs are croaking.,,
,,Wě:sas hi:gòwhtí?,,,,,Wě:sasgo hi:gòwhtí?,Did you see a cat?,,
,,,,,,,Amǎ:yi à:gwadúha.,I am standing in the water.,,
,,,,,,,Ga:dő:hi ù:hí:sata.,There's dew on the ground,,
,,Hlas hyigowhtí?,,,,,Vtlasgo hyigowhtíha?,Don't you see it?,,
,,Jalv̌:kwdis gő:la?,,,,,Jalv̌:kwdisgo gő:la?,Do you like winter?,,
,,Jayó:sihas? Hla.,,,,,Jayó:sihasgo? Tla.,Are you hungry? No.,,
,,,,,,,Kǎ:hwi à:lidlíha.,The coffee is boiling.,,
,,Sda̋:yi ha:sò:nsda.; Sda̋:i ha:sò:nsda.,,,,,Sda̋:ya ha:sò:nsda.,Press down on it hard.,,
,,Do:hiyu à:tvsga.; Do:yű à:tvsga.,,,,,U:do:hiyű à:tvsga.,He is really growing.,,
,,Ago:nas jalo:sv̌:hi?,,,,,Ago:nasgo jalo:sv̌:hi?,Have you gone through famine?,,
,,,,,,,Ji:yű:kdi hwilǒ:hi.,Go straight ahead.,,
,,A:sé:ɂis hihnǒ:hí:yé:ɂi?,,,,,A:sé:ɂisgo hihnǒ:hí:yé:ɂi?,Did you omit him on purpose?,,
,,Dò jijaye:tsga?,,,,,Gadò jijaye:tsga?,Why are you laughing?,,
,,Dò ù:lǐ:yê:di:ha?; Gadò ù:lǐ:yê:di?; Dò ù:lǐ:yê:di?,,,,,Gadò ù:lǐ:yê:di:ha?,Why is he moaning?,,
,,,,,,,Gá:yu:la jǎ:hníha?,Are you already in bed?,,
,,,,,,,Ha:dlv ù:di:sgáhla?,Where is he hiding?,,
,,Galv:lő sakǒ:níge̋:ɂi.,,,,,Galv:lő:ɂi sakǒ:níge̋:ɂi.,The Sky is blue.,,
,,,,,,,Gi:nű:tdi ksdolsda.,Lend me a quarter.,,
,,O:sǐ:gwus jadanhta?,,,,,O:sǐ:gwusgo jadanhta?,Do you feel all right?,,
,,,,,,,U:hyv̋:dla hihné:gi?,Do you vote Republican?,,
,,,,,,,U:jő:sdi dù:wo:hwě:la̋.,His handwriting is confusing.,,
,,Uwe:la gv:hnisdí.,,,,,Uwe:la gv:hnisdíha.,She's cooking liver.,,
,,,,,,,V:dali ì:nasǔ:hnú:ga.,Let's go fishing at the pond.,,
,,À:da:ně:lv ga:de:yoha.; À:da:ně:lv̋ ga:de:yo.,,,,,À:da:ně:lv̋:ɂi ga:de:yoha.,I am circling a building.,,
,,Amáhldi̋ gà:sgǒ:sga.,,,,,Amáhldi̋:ɂi gà:sgǒ:sga.,I am digging a water well.,,
,,Ayv:wi:ya̋ à:je:lv:sga.,,,,,Ayv:wi:ya̋:ɂi à:je:lv:sga.,He is acting like an Indian.,,
,,Ha:dlv iyv̋ à:sǔ:hv́sga?; Ha:dlv:yv̋ à:sǔ:hv́sga?,,,,,Ha:dlv iyv̋:ɂi à:sǔ:hv́sga?,Where is he fishing?,,
,,,,,,,Jǐ:yu gano:hǐ:lv̂:sda.,An airplane just flew by.,,
,,,,,,,Nǔ:na tihyahkě:tsa.,Peel some potatoes.,,
,,,,,,,Ada:geyhdi ulsge̋:da.,Love is important.,,
,,,,,,,Ahli:lő:sdi e:sgi:dì:si.,Hand me a ruler.,,
,,,,,,,Halsaladv̀:ga hle̋:ga.,Raise up awhile.,,
,,Ì:na:liɂǐ:da ahyelsdi.,,,,,Ì:na:liɂǐ:da hayelsdi.,Let's trade knives.,,
,,Jalagis hiwó:ni:sgi?,,,,,Jalagisgo hiwó:ni:sgi?,Do you speak Cherokee?,,
,,U:ka:hyő:dv̋ há:ɂi:sésdi.,,,,,U:ka:hyő:dv̋:ɂi há:ɂi:sésdi.,Walk on a dry place.,,
,,U:nǐ:si ù:tvhistanv́.,,,,,U:nǐ:si ù:tvhistanv́:ɂi.,His grandfather raised him.,,
,,Dagwalé:la hajaɂv̀:ga.,,,,,Dagwalé:lu hajaɂv̀:ga.,Get in the car,,
,,Diga:dú:hv̋ wijigâ:ti.,,,,,Diga:dú:hv̋:ɂi wijigâ:ti.,I'm heading for town.,,
,,,,,,,Jǒ:lani hì:saladv̀:ga.,Raise the window.,,
,,Jőhlgis u:gv:wiyu:hi?,,,,,Jőhlgisgo u:gv:wiyu:hi?,Does the chief know you?,,
,,Yǒ:na dù:hli:ló:stanv̌.,,,,,Yǒ:na dù:hli:ló:stanv̌:ɂi.,He drew a picture of a bear.,,
,,,,,,,Amǎ:yi witáhltadù:ga.,Jump into the water.,,
,,Atǔ:gi̋:sdi ù:ne:hně:lv́.,,,,,Atǔ:gi̋:sdi ù:ne:hně:lv́:ɂi.,He gave him an alcoholic drink.,,
,,Di:te:lǐ:do de:gv́:dǐ:yé.,,,,,Di:te:lǐ:do de:gv́:dǐ:yéɂa.,She is washing plates.,,
,,Do:dv:dani:lv́:jisgo he:lí?; Do:dv:dani:lv́:jis he:lí?,,,,,Do:dv:dani:lv́:jisgo he:líɂa?,Do you think he is going to accept?,,
,,Galò:gwe ganv:galí.,,,,,Galò:gwe ganv:galíha.,He is cleaning a gun.,,
,,Galv̌:ládige̋ hwiɂlò:ga.,,,,,Galv̌:ládige̋:ɂi hwiɂlò:ga.,Climb up higher.,,
,,Ù:hnv́:si:yv̋ hale:hv̀:ga.,,,,,Ù:hnv́:si:yv̋:ɂi hale:hv̀:ga.,Go stand in the corner.,,
,,,,,,,U:naksú:ti anǐ:nayè:gi.,Diamondback rattlers are dangerous.,,
,,U:nalà:sgáhldi̋ ì:dè:na.,,,,,U:nalà:sgáhldi̋:ɂi ì:dè:na.,Let's go to the ball field.,,
,,,,,,,U:ni:hnà:sǔ:ga de:gadé:ɂa.,She's picking some possum grapes.,,
,,U:sgwo:hli̋ à:sgo:lǐ:yéɂa.; U:sgwo:hli̋ à:sgo:lǐ:yé.,,,,,U:sgwo:hli̋:ɂi à:sgo:lǐ:yéɂa.,He's rubbing his stomach.,,
,,De:hiktahas di:sésdi?,,,,,De:hiktahasgo di:sésdi?,Do you know your numbers?,,
,,,,,,,E:ladigwu jinv́:gé:sdi.,I'll just lie on the floor.,,
,,Ga̋:duɂi ù:sdv̌:háhlanv̌.,,,,,Ga̋:duɂi ù:sdv̌:háhlanv̌:ɂi.,He sandwiched it between the bread.,,
,,Gá:gō ù:hyv̌:sdé:lu:hné?,,,,,Gá:gō ù:hyv̌:sdé:lu:hné:ɂi?,Who hit him on the nose?,,
,,Gá:gwatv jině:dlí:yvɂa.,,,,,Gá:gwatdi jině:dlí:yvɂa.,I am changing the wheel.,,
,,Hè:sdi jadlo:hyílv:ɂi.,,,,,Hlè:sdi jadlo:hyílv:ɂi.,Don't cry.,,
,,Ù:hlǐ:sdi̋ dù:wu:ktánv́.,,,,,Ù:hlǐ:sdi̋ dù:wu:ktánv́:ɂi.,He decided too quickly.,,
,,,,,,,Dakwsáni dijalv̌:kwdi?,Do you like turnips?,,
,,Galo:hisdi̋ wù:ktv́:le:sv̌.,,,,,Galo:hisdi̋:ɂi wù:ktv́:le:sv̌:ɂi.,He went through the doorway.,,
,,,,,,,Jí:sdv:na dì:gihyalú:ga.,Let's go look for crawdads.,,
,,,,,,,Kilágwu wida:dilúhji.,We'll get there pretty soon.,,
,,Gadò:hv́ dù:nagale:nv:hé?,,,,,Gadò:hv́ dù:nagale:nv:hé:ɂi?,Why did they separate?,,
,,Jalv̌:kwdis jadawò:sdi?,,,,,Jalv̌:kwdisgo jadawò:sdi?,Do you like to swim?,,
,,,,,,,Ù:di:hlehgigwu ù:katv̋:ɂhi.,His face is just hot.,,
,,Ù:gohnv̌:gwu Ù:né:gaɂlv̋.,,,,,Ù:gohnv̌:ɂigwu Ù:né:gaɂlv̋:ɂi.,His skin is just burned,,
,,,,,,,Gahljǒ:de da:gà:né:sge:hi.,I am going to build a house.,,
,,Jà:kiné:ɂistánv̋́ gè:lî:sgv́.,,,,,Jà:kiné:ɂistánv̋́:ɂi gè:lî:sgv́.,I thought I mentioned it.,,
,,Ù:sdiné:gaɂlv̋ à:dlagǒ:sga.,,,,,Ù:sdiné:gaɂlv̋:ɂi à:dlagǒ:sga.,He's scratching his scalp.,,
,,Ù:wohláɂv̋ da:yù:dě:tínv́:ɂi.; Ù:wohláɂv̋ da:yù:dě:tínv́.,,,,,Ù:wohláɂv̋:ɂi da:yù:dě:tínv́:ɂi.,He dived from a bluff.,,
,,Gà:salě:nis tinâ:wi:dv:hi?,,,,,Gà:salě:nisgo tinâ:wi:dv:hi?,Are you going to take a coat?,,
,,Digo:hwe:li de:jigo:lǐ:yé.,,,,,Digo:hwe:li de:jigo:lǐ:yéɂa.,I am reading a book.,,
,,,,,,,Di:liyè:su:lo dà:giyo:hǔ:sī.,I lost some gloves.,,
,,,,,,,Nvwhto:hi:yada ì:dihé:sdi.,Let's live in peace.,,
,,Uwǒ:tida à:gitsgwalv:tv̋.,,,,,Uwǒ:tida à:gitsgwalv:tv̋:ɂi.,My ankle is swollen.,,
,,,,,,,Gá:gō de:jakà:no:wadǐ:dô:ha?,Who is looking after you?,,
,,Gà:hi:sgaɂihó:ɂis ju:ganò:ji?; Gà:hi:sgaɂihó:sgo ju:ganò:ji?; Gà:hi:sgaɂihó:s ju:ganò:ji?,,,,,Gà:hi:sgaɂihó:ɂisgo ju:ganò:ji?,Are you afraid of centipedes?,,
,,Hè:sdi yije:lǐ:hî:sgé:sdi.,,,,,Hlè:sdi yije:lǐ:hî:sgé:sdi.,Don't worry.,,
,,Jayv:hlv̌:ɂis ju:nada:sdù:diɂi?; Jayv:hlv̌:ɂis ju:nada:sdù:di?,,,,,Jayv:hlv̌:ɂisgo ju:nada:sdù:diɂi?,Have you been in jail?,,
,,,,,,,Halsgwè:tuhgi. jigo:lǐ:ya.,Take your hat off. Let me look at it.,,
,,Ù:dlé:jv̌ à:jilo:nu:hě:hla.,,,,,Ù:dlé:jv̌:ɂi à:jilo:nu:hě:hla.,He took revenge when he was cheated.,,
,,Nű:la. da:ginigo:hnǐ:yô:jis?,,,,,Nű:la. da:ginigo:hnǐ:yô:jisgo?,Hurry. Will we be late?,,
,,Ù:de:loho:sv̌ a`:jilo:nu:hě:sgv̌:ɂi.; Ù:de:loho:sv̌ a`:jilo:nu:hě:sgv̌.,,,,,Ù:de:loho:sv̌:ɂi à:jilo:nu:hě:sgv̌:ɂi.,He found out that he was being cheated.,,
,,Di:da:hli:lò:stanv̋ gatv́sga.,,,,,Di:da:hli:lò:stanv̋:ɂi gatv́sga.,She's hanging up a picture.,,
,,Hè:sdi ji:chayvhjinv:tgi.; Hlè:sdi ji:chayvhjinv:tsi.; Hè:sdi ji:chayvhjinv:tsi.,,,,,Hlè:sdi ji:chayvhjinv:tgi.,Don't choke on it.,,
,,,,,,,Ju:danv:galv̋:da tahnáwo:ja.,Put on some clean clothes.,,
,,,,,,,Gayhgò:gi kano:hě:hlǐ:dô:hó:ɂi.,He goes around telling lies.,,
,,,,,,,Hale:hwisdohda dagwalé:la.,Stop the car.,,
,,U:de:hǒ:hísdohdi á:nehldí.,,,,,U:de:hǒ:hísdohdi á:nehldíha.,She's trying to embarrass him.,,
,,À:tv:gí:ɂas à:hyv:dagwálô:sgv?,,,,,À:tv:gí:ɂasgo à:hyv:dagwálô:sgv?,Do you hear it thundering?,,
,,Hlè:sdi hyaljí:kwǐ:dô:hé:sdi.,,,,,Hlè:sdi hyaljí:kwǐ:dô:hé:sdi.,Don't go around spitting.,,
,,Kò:sdu dà:kiyv̌:sdô:ysdi:sgó.,,,,,Kò:sdu dà:kiyv̌:sdô:ysdi:sgó:ɂi.,Dust makes me sneeze.,,
,,,,,,,U:dawè:sǒ:lv́:sdohdi ù:du:líha.,He wants to rest.,,
,,De:kanâ:sde:dlí dù:wá:ɂihlv̋:ɂi.; De:kanâ:sde:dlí dù:wá:ɂihlv̋.,,,,,De:kanâ:sde:dlíha dù:wá:ɂihlv̋:ɂi.,He's rooting out bushes.,,
,,,,,,,Do:dagaliyê:su:lé:si. Nihina?,I'm going to take my gloves off. What about you?,,
,,,,,,,Sǒ:gwíli dà:natohgǐ:yâ:sdiha.,They're racing horses.,,
,,Sgá:hó:ɂis ahyv:dagwalò:sgi?,,,,,Sgá:hó:ɂisgo ahyv:dagwalò:sgi?,Are you afraid of thunder?,,
,,Ju:là:sihde̋:ni dà:ga:nawhdí.,,,,,Ju:là:sihde̋:ni dà:ga:nawhdíha.,He's warming his feet.,,
,,,,,,,Halsgù:hya de:ha:daní:lv:gé:sdi.,Nod your head if you accept.,,
,,Ò:gina:li̋ wida:jiwhtv:hǐ:dô:li.,,,,,Ò:gina:li̋:ɂi wida:jiwhtv:hǐ:dô:li.,I am going to go and visit my friend.,,
,,Dà:gwasuhgahlv̋ de:jinv:galí:ɂa.; Dà:gwasuhgahlv̋ de:jinv:galí.,,,,,Dà:gwasuhgahlv̋:ɂi de:jinv:galí:ɂa.,I'm cleaning my fingernails.,,
,,Yù:dawó:ɂé:na à:liyê:su:stgí:sgó.,,,,,Yù:dawó:ɂé:na à:liyê:su:stgí:sgó:ɂi.,"When he goes swimming, he takes his ring off.",,
,,,,,,,Hi:yà:tv:dv:hv̀:ga nididv́:ne:lǐ:sv:ɂi.,Ask him what he's intending to do.,,
,,U:da:do:lì:sdóhdi à:jihtayóseɂlv̌.,,,,,U:da:do:lì:sdóhdi à:jihtayóseɂlv̌:ɂi.,He was asked to pray.,,
,,Di:hlino:hehdi̋ degálino:hě:sgv̌:ɂi.; Di:hlino:hehdi̋ degálino:hě:sgv̌.,,,,,Di:hlino:hehdi̋:ɂi degálino:hě:sgv̌:ɂi.,I was conversing on the phone.,,
,,,,,,,Hadawè:sǒ:lv́:sda. Do:tastaye:sé:ga.,Rest. You'll get exhausted.,,
,,,,,,,Sgwalsgohldà:si à:giwò:nǐ:hísdi̋:ɂi.,Permit me to speak.,,
,,Julsihnv̋:das de:jalv̌:hwísdà:ne:hó:ɂi?; Julsihnv̋:das de:jalv̌:hwísdà:ne:hó?,,,,,Julsihnv̋:dasgo de:jalv̌:hwísdà:ne:hó:ɂi?,Do you work nightly?,,
,,U:nadǒ:dágwohnv̋ dà:nada:híɂlǐ:dô:hé:sdi.; U:dǒ:dágwohnv̋:ɂi dà:nada:híɂlǐ:dô:hé:sdi.; U:dǒ:dágwohnv̋ dà:nada:híɂlǐ:dô:hé:sdi.; Dǒ:dágwohnvɂi dà:nada:híɂlǐ:dô:hé:sdi.; Dǒ:dágwohnv̄ dà:nada:híɂlǐ:dô:hé:sdi.,,,,,U:nadǒ:dágwohnv̋:ɂi dà:nada:híɂlǐ:dô:hé:sdi.,They will be having a trial on Monday.,,
,,De:gálíyê:su:líɂa do:dv:gilv̌:hwísdà:ne:lihno.,,,,,De:gálíyê:su:líɂa do:dv:gilv̌:hwísdà:ne:lihě:hno.,I am putting on gloves because I will be working.,,
,,Dala:la ù:ní:yv:hv̌ wě:sa,,,,,Dala:la ù:ní:yv:hv̌:ɂi wě:sa,A cat caught a woodpecker.,,
,,,,,,,Hila̋ ǐ:ga̋ ju:gv̌:wahldi?,How much does it cost?,,
,,Hi:yo:lì:gis hiɂa asgaya?; Hi:yo:lì:gisgo hiɂi asgaya?; Hi:yo:lì:gis hiɂi asgaya?,,,,,Hi:yo:lì:gisgo hiɂa asgaya?,Do you know this man?,,
,,Gǒ:lě:hi ù:dlv́:ga gáɂnakti.,,,,,Gǒ:lě:hi ù:dlv́:ga agáɂnakti.,The doctor is sick with pneumonia.,,
,,Gǒ:tv̋ naɂv dèginǒ:hlê:sdi.,,,,,Gǒ:tv̋:ɂi naɂv dèginǒ:hlê:sdi.,We two will be sitting by the fire.,,
,,Ha:dlv hilǒ:hi sda:li̋?,,,,,Ha:dlv hilǒ:hi sda:li̋:ɂi?,Where did your friend go?,,
,,Dò à:si:ni á:ɂi?,,,,,Gadò à:si:ni á:ɂi?,Why are you walking backwards?,,
,,Gadō u:sd à:diha?; Dō u:sd à:diha?; Dō u:sd à:di?,,,,,Gadō u:sdi à:diha?,What is he saying?,,
,,Gő:sdi u:yő:ɂi à:sv̂:ga.; Go:hű:sdi u:yő à:sv̂:ga.; Gő:sdi u:yő à:sv̂:ga.; Go:hű:sd u:yő à:sv̂:ga.; Gő:sd u:yő à:sv̂:ga.,,,,,Go:hű:sdi u:yő:ɂi à:sv̂:ga.,Something smells bad.,,
,,Gù:gu dè:gwà:yo:dè:sdi gi:hli.,,,,,Gù:gu dè:gwà:yo:dè:sdi:ha gi:hli.,Ticks are making the dog itch.,,
,,Gu:le dà:nigî:sgó salǒ:li.,,,,,Gu:le dà:nigî:sgó:ɂi salǒ:li.,Squirrels eat acorns.,,
,,,,,,,Jo:gi dí:dla i:nè:na.,Let's go upstream.,,
,,U:tani̋ hiɂi ahnawo.,,,,,U:tani̋ hiɂa ahnawo.,This shirt is too big.,,
,,,,,,,Ada uwe̋:ti ù:go:sga.,The old wood is decaying.,,
,,Gadò dù:do u:du:ji?; Dò dù:do u:du:ji?,,,,,Gadò dù:do:ɂa u:du:ji?,What's his uncle's name?,,
,,,,,,,Gá:gō na u:tvhisdi?,Who is the old chap?,,
,,Gv̌:hnáge̋ dagwalé:la à:giha.; Gv̌:hnáge̋ dagwalé:l à:giha.,,,,,Gv̌:hnáge̋:ɂi dagwalé:la à:giha.,I have a black car.,,
,,Hle:kís dagáɂlúhji ù:dv:hné?,,,,,Hle:kísgo dagáɂlúhji ù:dv:hné:ɂi?,Did he say he was coming soon?,,
,,Goɂi̋ha hawi:ya à:gí.,,,,,Goɂi̋ha hawi:ya à:gíɂa.,He is eating greasy meat.,,
,,,,,,,Hasu:yv̌:la na ǔ:gáma.,Stir the soup.,,
,,,,,,,Kò:sdu hilagi ó:si̋:ɂi.,Take the ashes out of the stove.,,
,,,,,,,Ayo! do:sa à:ksgala.,Ouch! A mosquito bit me.,,
,,,,,,,Gadō ű:sdi dà:jě:hla?,Which one is better?,,
,,Gá:g v̀:sgina agě:hya?; Gá:gō v̀:sgi agě:hya?; Gá:g v̀:sgi agě:hya?; Gá:gō sgina agě:hya?; Gá:g sgina agě:hya?; Gá:gō nà:sgi agě:hya?; Gá:g nà:sgi agě:hya?,,,,,Gá:gō v̀:sgina agě:hya?,Who is that woman?,,
,,Ha:dlv iyv̋ ù:dlé:sé?,,,,,Ha:dlv iyv̋ ù:dlé:sé:ɂi?,Where did he turn off?,,
